conditionId	conditionName	Fsk_time	Fsk_level	IBMX_time	IBMX_level	H89_time	H89_level	Sp8_Br_cAMPS_AM_time	Sp8_Br_cAMPS_AM_level	Rp8_pCPT_cAMPS_pAB_incubation_time	Rp8_pCPT_cAMPS_pAB_level	Rp8_Br_cAMPS_pAB_incubation_time	Rp8_Br_cAMPS_pAB_level	Rp_cAMPS_pAB_incubation_time	Rp_cAMPS_pAB_level	fourABnOH_incubation_time	fourABnOH_level
control	control	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
JI09_150302_Drg345_343_CycNuc__4_ABnOH_and_ctrl__1	4-ABnOH	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0
JI09_150302_Drg345_343_CycNuc__4_ABnOH_and_ctrl__2	4-ABnOH	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59	0
JI09_150302_Drg345_343_CycNuc__4_ABnOH_and_ctrl__3	4-ABnOH	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	0
JI09_150302_Drg345_343_CycNuc__4_ABnOH_and_ctrl__4	4-ABnOH	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0
JI09_150302_Drg345_343_CycNuc__4_ABnOH_and_ctrl__5	4-ABnOH	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0
JI09_150302_Drg345_343_CycNuc__4_ABnOH_and_ctrl__6	4-ABnOH	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
JI09_150302_Drg345_343_CycNuc__4_ABnOH_and_Fsk__1	4-ABnOH/Fsk(10)	60	10	0	0	0	0	0	0	0	0	0	0	0	0	60	0
JI09_150302_Drg345_343_CycNuc__4_ABnOH_and_Fsk__2	4-ABnOH/Fsk(10)	60	10	0	0	0	0	0	0	0	0	0	0	0	0	59	0
JI09_150302_Drg345_343_CycNuc__4_ABnOH_and_Fsk__3	4-ABnOH/Fsk(10)	60	10	0	0	0	0	0	0	0	0	0	0	0	0	55	0
JI09_150302_Drg345_343_CycNuc__4_ABnOH_and_Fsk__4	4-ABnOH/Fsk(10)	60	10	0	0	0	0	0	0	0	0	0	0	0	0	45	0
JI09_150302_Drg345_343_CycNuc__4_ABnOH_and_Fsk__5	4-ABnOH/Fsk(10)	60	10	0	0	0	0	0	0	0	0	0	0	0	0	30	0
JI09_150302_Drg345_343_CycNuc__4_ABnOH_and_Fsk__6	4-ABnOH/Fsk(10)	60	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0
JI09_150302_Drg345_343_CycNuc__Rp_cAMPS_pAB_and_ctrl__1	4-ABnOH/Rp_cAMPS_pAB(10)	0	0	0	0	0	0	0	0	0	0	0	0	60	10	0	0
JI09_150302_Drg345_343_CycNuc__Rp_cAMPS_pAB_and_ctrl__2	4-ABnOH/Rp_cAMPS_pAB(10)	0	0	0	0	0	0	0	0	0	0	0	0	59	10	0	0
JI09_150302_Drg345_343_CycNuc__Rp_cAMPS_pAB_and_ctrl__3	4-ABnOH/Rp_cAMPS_pAB(10)	0	0	0	0	0	0	0	0	0	0	0	0	55	10	0	0
JI09_150302_Drg345_343_CycNuc__Rp_cAMPS_pAB_and_ctrl__4	4-ABnOH/Rp_cAMPS_pAB(10)	0	0	0	0	0	0	0	0	0	0	0	0	45	10	0	0
JI09_150302_Drg345_343_CycNuc__Rp_cAMPS_pAB_and_ctrl__5	4-ABnOH/Rp_cAMPS_pAB(10)	0	0	0	0	0	0	0	0	0	0	0	0	30	10	0	0
JI09_150302_Drg345_343_CycNuc__Rp_cAMPS_pAB_and_ctrl__6	4-ABnOH/Rp_cAMPS_pAB(10)	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0
JI09_150302_Drg345_343_CycNuc__Rp_cAMPS_pAB_and_Fsk__1	4-ABnOH/Fsk(10)/Rp-cAMPS-pAB(10)	0	0	0	0	0	0	0	0	0	0	0	0	60	10	0	0
JI09_150302_Drg345_343_CycNuc__Rp_cAMPS_pAB_and_Fsk__2	4-ABnOH/Fsk(10)/Rp-cAMPS-pAB(10)	0	0	0	0	0	0	0	0	0	0	0	0	59	10	0	0
JI09_150302_Drg345_343_CycNuc__Rp_cAMPS_pAB_and_Fsk__3	4-ABnOH/Fsk(10)/Rp-cAMPS-pAB(10)	0	0	0	0	0	0	0	0	0	0	0	0	55	10	0	0
JI09_150302_Drg345_343_CycNuc__Rp_cAMPS_pAB_and_Fsk__4	4-ABnOH/Fsk(10)/Rp-cAMPS-pAB(10)	0	0	0	0	0	0	0	0	0	0	0	0	45	10	0	0
JI09_150302_Drg345_343_CycNuc__Rp_cAMPS_pAB_and_Fsk__5	4-ABnOH/Fsk(10)/Rp-cAMPS-pAB(10)	0	0	0	0	0	0	0	0	0	0	0	0	30	10	0	0
JI09_150302_Drg345_343_CycNuc__Rp_cAMPS_pAB_and_Fsk__6	4-ABnOH/Fsk(10)/Rp-cAMPS-pAB(10)	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0
JI09_150302_Drg345_343_CycNuc__Rp8_Br_cAMPS_pAB_and_ctrl__1	4-ABnOH/Rp8-Br-cAMPS-pAB(10)	0	0	0	0	0	0	0	0	0	0	60	10	0	0	0	0
JI09_150302_Drg345_343_CycNuc__Rp8_Br_cAMPS_pAB_and_ctrl__2	4-ABnOH/Rp8-Br-cAMPS-pAB(10)	0	0	0	0	0	0	0	0	0	0	59	10	0	0	0	0
JI09_150302_Drg345_343_CycNuc__Rp8_Br_cAMPS_pAB_and_ctrl__3	4-ABnOH/Rp8-Br-cAMPS-pAB(10)	0	0	0	0	0	0	0	0	0	0	55	10	0	0	0	0
JI09_150302_Drg345_343_CycNuc__Rp8_Br_cAMPS_pAB_and_ctrl__4	4-ABnOH/Rp8-Br-cAMPS-pAB(10)	0	0	0	0	0	0	0	0	0	0	45	10	0	0	0	0
JI09_150302_Drg345_343_CycNuc__Rp8_Br_cAMPS_pAB_and_ctrl__5	4-ABnOH/Rp8-Br-cAMPS-pAB(10)	0	0	0	0	0	0	0	0	0	0	30	10	0	0	0	0
JI09_150302_Drg345_343_CycNuc__Rp8_Br_cAMPS_pAB_and_ctrl__6	4-ABnOH/Rp8-Br-cAMPS-pAB(10)	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0
JI09_150302_Drg345_343_CycNuc__Rp8_Br_cAMPS_pAB_and_Fsk__1	4-ABnOH/Fsk(10)/Rp8-Br-cAMPS-pAB(10)	60	10	0	0	0	0	0	0	0	0	60	10	0	0	0	0
JI09_150302_Drg345_343_CycNuc__Rp8_Br_cAMPS_pAB_and_Fsk__2	4-ABnOH/Fsk(10)/Rp8-Br-cAMPS-pAB(10)	60	10	0	0	0	0	0	0	0	0	59	10	0	0	0	0
JI09_150302_Drg345_343_CycNuc__Rp8_Br_cAMPS_pAB_and_Fsk__3	4-ABnOH/Fsk(10)/Rp8-Br-cAMPS-pAB(10)	60	10	0	0	0	0	0	0	0	0	55	10	0	0	0	0
JI09_150302_Drg345_343_CycNuc__Rp8_Br_cAMPS_pAB_and_Fsk__4	4-ABnOH/Fsk(10)/Rp8-Br-cAMPS-pAB(10)	60	10	0	0	0	0	0	0	0	0	45	10	0	0	0	0
JI09_150302_Drg345_343_CycNuc__Rp8_Br_cAMPS_pAB_and_Fsk__5	4-ABnOH/Fsk(10)/Rp8-Br-cAMPS-pAB(10)	60	10	0	0	0	0	0	0	0	0	30	10	0	0	0	0
JI09_150302_Drg345_343_CycNuc__Rp8_Br_cAMPS_pAB_and_Fsk__6	4-ABnOH/Fsk(10)/Rp8-Br-cAMPS-pAB(10)	60	10	0	0	0	0	0	0	0	0	0	10	0	0	0	0
JI09_150302_Drg345_343_CycNuc__Rp8_pCPT_cAMPS_pAB_and_ctrl__1	4-ABnOH/Rp8-pCPT-cAMPS-pAB(10)	0	0	0	0	0	0	0	0	60	10	0	0	0	0	0	0
JI09_150302_Drg345_343_CycNuc__Rp8_pCPT_cAMPS_pAB_and_ctrl__2	4-ABnOH/Rp8-pCPT-cAMPS-pAB(10)	0	0	0	0	0	0	0	0	59	10	0	0	0	0	0	0
JI09_150302_Drg345_343_CycNuc__Rp8_pCPT_cAMPS_pAB_and_ctrl__3	4-ABnOH/Rp8-pCPT-cAMPS-pAB(10)	0	0	0	0	0	0	0	0	55	10	0	0	0	0	0	0
JI09_150302_Drg345_343_CycNuc__Rp8_pCPT_cAMPS_pAB_and_ctrl__4	4-ABnOH/Rp8-pCPT-cAMPS-pAB(10)	0	0	0	0	0	0	0	0	45	10	0	0	0	0	0	0
JI09_150302_Drg345_343_CycNuc__Rp8_pCPT_cAMPS_pAB_and_ctrl__5	4-ABnOH/Rp8-pCPT-cAMPS-pAB(10)	0	0	0	0	0	0	0	0	30	10	0	0	0	0	0	0
JI09_150302_Drg345_343_CycNuc__Rp8_pCPT_cAMPS_pAB_and_ctrl__6	4-ABnOH/Rp8-pCPT-cAMPS-pAB(10)	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0
JI09_150302_Drg345_343_CycNuc__Rp8_pCPT_cAMPS_pAB_and_Fsk__1	4-ABnOH/Fsk(10)/Rp8-pCPT-cAMPS-pAB(10)	60	10	0	0	0	0	0	0	60	10	0	0	0	0	0	0
JI09_150302_Drg345_343_CycNuc__Rp8_pCPT_cAMPS_pAB_and_Fsk__2	4-ABnOH/Fsk(10)/Rp8-pCPT-cAMPS-pAB(10)	60	10	0	0	0	0	0	0	59	10	0	0	0	0	0	0
JI09_150302_Drg345_343_CycNuc__Rp8_pCPT_cAMPS_pAB_and_Fsk__3	4-ABnOH/Fsk(10)/Rp8-pCPT-cAMPS-pAB(10)	60	10	0	0	0	0	0	0	55	10	0	0	0	0	0	0
JI09_150302_Drg345_343_CycNuc__Rp8_pCPT_cAMPS_pAB_and_Fsk__4	4-ABnOH/Fsk(10)/Rp8-pCPT-cAMPS-pAB(10)	60	10	0	0	0	0	0	0	45	10	0	0	0	0	0	0
JI09_150302_Drg345_343_CycNuc__Rp8_pCPT_cAMPS_pAB_and_Fsk__5	4-ABnOH/Fsk(10)/Rp8-pCPT-cAMPS-pAB(10)	60	10	0	0	0	0	0	0	30	10	0	0	0	0	0	0
JI09_150302_Drg345_343_CycNuc__Rp8_pCPT_cAMPS_pAB_and_Fsk__6	4-ABnOH/Fsk(10)/Rp8-pCPT-cAMPS-pAB(10)	60	10	0	0	0	0	0	0	0	10	0	0	0	0	0	0
JI09_150330_Drg350_348_CycNuc__Fsk10	Fsk(10)	10	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0
JI09_150330_Drg350_348_CycNuc__IBMX100_and_Fsk10	IBMX(100)/Fsk(10)	10	10	0	100	0	0	0	0	0	0	0	0	0	0	0	0
JI09_150330_Drg350_348_CycNuc__IBMX100	IBMX(100)	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0
JI09_150330_Drg350_348_CycNuc__Sp8_Br_cAMPS_AM10	Sp-8-Br-cAMPS-AM(10)	0	0	0	0	0	0	10	10	0	0	0	0	0	0	0	0
JI09_150330_Drg353_351_CycNuc__4_ABnOH_and_ctrl__1	4-ABnOH/ctrl	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
JI09_150330_Drg353_351_CycNuc__4_ABnOH_and_ctrl__2	4-ABnOH/ctrl	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.016
JI09_150330_Drg353_351_CycNuc__4_ABnOH_and_ctrl__3	4-ABnOH/ctrl	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08
JI09_150330_Drg353_351_CycNuc__4_ABnOH_and_ctrl__4	4-ABnOH/ctrl	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4
JI09_150330_Drg353_351_CycNuc__4_ABnOH_and_ctrl__5	4-ABnOH/ctrl	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
JI09_150330_Drg353_351_CycNuc__4_ABnOH_and_ctrl__6	4-ABnOH/ctrl	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10
JI09_150330_Drg353_351_CycNuc__4_ABnOH_and_ctrl__7	4-ABnOH/ctrl	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50
JI09_150330_Drg353_351_CycNuc__4-ABnOH_and_Fsk__1	4-ABnOH/Fsk(10)	30	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0
JI09_150330_Drg353_351_CycNuc__4-ABnOH_and_Fsk__2	4-ABnOH/Fsk(10)	30	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0.016
JI09_150330_Drg353_351_CycNuc__4-ABnOH_and_Fsk__3	4-ABnOH/Fsk(10)	30	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08
JI09_150330_Drg353_351_CycNuc__4-ABnOH_and_Fsk__4	4-ABnOH/Fsk(10)	30	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4
JI09_150330_Drg353_351_CycNuc__4-ABnOH_and_Fsk__5	4-ABnOH/Fsk(10)	30	10	0	0	0	0	0	0	0	0	0	0	0	0	0	2
JI09_150330_Drg353_351_CycNuc__4-ABnOH_and_Fsk__6	4-ABnOH/Fsk(10)	30	10	0	0	0	0	0	0	0	0	0	0	0	0	0	10
JI09_150330_Drg353_351_CycNuc__4-ABnOH_and_Fsk__7	4-ABnOH/Fsk(10)	30	10	0	0	0	0	0	0	0	0	0	0	0	0	0	50
JI09_150330_Drg353_351_CycNuc__Rp_cAMPS_pAB_and_ctrl__1	Rp-cAMPS-pAB(10)/ctrl	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
JI09_150330_Drg353_351_CycNuc__Rp_cAMPS_pAB_and_ctrl__2	Rp-cAMPS-pAB(10)/ctrl	0	0	0	0	0	0	0	0	0	0	0	0	0	0.016	0	0
JI09_150330_Drg353_351_CycNuc__Rp_cAMPS_pAB_and_ctrl__3	Rp-cAMPS-pAB(10)/ctrl	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08	0	0
JI09_150330_Drg353_351_CycNuc__Rp_cAMPS_pAB_and_ctrl__4	Rp-cAMPS-pAB(10)/ctrl	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4	0	0
JI09_150330_Drg353_351_CycNuc__Rp_cAMPS_pAB_and_ctrl__5	Rp-cAMPS-pAB(10)/ctrl	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
JI09_150330_Drg353_351_CycNuc__Rp_cAMPS_pAB_and_ctrl__6	Rp-cAMPS-pAB(10)/ctrl	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0
JI09_150330_Drg353_351_CycNuc__Rp_cAMPS_pAB_and_ctrl__7	Rp-cAMPS-pAB(10)/ctrl	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0
JI09_150330_Drg353_351_CycNuc__Rp_cAMPS_pAB_and_Fsk__1	Rp-cAMPS-pAB(10)/Fsk(10)	30	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0
JI09_150330_Drg353_351_CycNuc__Rp_cAMPS_pAB_and_Fsk__2	Rp-cAMPS-pAB(10)/Fsk(10)	30	10	0	0	0	0	0	0	0	0	0	0	0	0.016	0	0
JI09_150330_Drg353_351_CycNuc__Rp_cAMPS_pAB_and_Fsk__3	Rp-cAMPS-pAB(10)/Fsk(10)	30	10	0	0	0	0	0	0	0	0	0	0	0	0.08	0	0
JI09_150330_Drg353_351_CycNuc__Rp_cAMPS_pAB_and_Fsk__4	Rp-cAMPS-pAB(10)/Fsk(10)	30	10	0	0	0	0	0	0	0	0	0	0	0	0.4	0	0
JI09_150330_Drg353_351_CycNuc__Rp_cAMPS_pAB_and_Fsk__5	Rp-cAMPS-pAB(10)/Fsk(10)	30	10	0	0	0	0	0	0	0	0	0	0	0	2	0	0
JI09_150330_Drg353_351_CycNuc__Rp_cAMPS_pAB_and_Fsk__6	Rp-cAMPS-pAB(10)/Fsk(10)	30	10	0	0	0	0	0	0	0	0	0	0	0	10	0	0
JI09_150330_Drg353_351_CycNuc__Rp_cAMPS_pAB_and_Fsk__7	Rp-cAMPS-pAB(10)/Fsk(10)	30	10	0	0	0	0	0	0	0	0	0	0	0	50	0	0
JI09_150330_Drg353_351_CycNuc__Rp8_Br_cAMPS_pAB_and_ctrl__1	Rp8-Br-cAMPS-pAB(10)/ctrl	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
JI09_150330_Drg353_351_CycNuc__Rp8_Br_cAMPS_pAB_and_ctrl__2	Rp8-Br-cAMPS-pAB(10)/ctrl	0	0	0	0	0	0	0	0	0	0	0	0.016	0	0	0	0
JI09_150330_Drg353_351_CycNuc__Rp8_Br_cAMPS_pAB_and_ctrl__3	Rp8-Br-cAMPS-pAB(10)/ctrl	0	0	0	0	0	0	0	0	0	0	0	0.08	0	0	0	0
JI09_150330_Drg353_351_CycNuc__Rp8_Br_cAMPS_pAB_and_ctrl__4	Rp8-Br-cAMPS-pAB(10)/ctrl	0	0	0	0	0	0	0	0	0	0	0	0.4	0	0	0	0
JI09_150330_Drg353_351_CycNuc__Rp8_Br_cAMPS_pAB_and_ctrl__5	Rp8-Br-cAMPS-pAB(10)/ctrl	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
JI09_150330_Drg353_351_CycNuc__Rp8_Br_cAMPS_pAB_and_ctrl__6	Rp8-Br-cAMPS-pAB(10)/ctrl	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0
JI09_150330_Drg353_351_CycNuc__Rp8_Br_cAMPS_pAB_and_ctrl__7	Rp8-Br-cAMPS-pAB(10)/ctrl	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0
JI09_150330_Drg353_351_CycNuc__Rp8_Br_cAMPS_pAB_and_Fsk__1	Rp8-Br-cAMPS-pAB(10)/Fsk(10)	30	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0
JI09_150330_Drg353_351_CycNuc__Rp8_Br_cAMPS_pAB_and_Fsk__2	Rp8-Br-cAMPS-pAB(10)/Fsk(10)	30	10	0	0	0	0	0	0	0	0	0	0.016	0	0	0	0
JI09_150330_Drg353_351_CycNuc__Rp8_Br_cAMPS_pAB_and_Fsk__3	Rp8-Br-cAMPS-pAB(10)/Fsk(10)	30	10	0	0	0	0	0	0	0	0	0	0.08	0	0	0	0
JI09_150330_Drg353_351_CycNuc__Rp8_Br_cAMPS_pAB_and_Fsk__4	Rp8-Br-cAMPS-pAB(10)/Fsk(10)	30	10	0	0	0	0	0	0	0	0	0	0.4	0	0	0	0
JI09_150330_Drg353_351_CycNuc__Rp8_Br_cAMPS_pAB_and_Fsk__5	Rp8-Br-cAMPS-pAB(10)/Fsk(10)	30	10	0	0	0	0	0	0	0	0	0	2	0	0	0	0
JI09_150330_Drg353_351_CycNuc__Rp8_Br_cAMPS_pAB_and_Fsk__6	Rp8-Br-cAMPS-pAB(10)/Fsk(10)	30	10	0	0	0	0	0	0	0	0	0	10	0	0	0	0
JI09_150330_Drg353_351_CycNuc__Rp8_Br_cAMPS_pAB_and_Fsk__7	Rp8-Br-cAMPS-pAB(10)/Fsk(10)	30	10	0	0	0	0	0	0	0	0	0	50	0	0	0	0
JI09_150330_Drg353_351_CycNuc__Rp8_pCPT_cAMPS_pAB_and_ctrl__1	Rp8-pCPT-cAMPS-pAB(10)/ctrl	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
JI09_150330_Drg353_351_CycNuc__Rp8_pCPT_cAMPS_pAB_and_ctrl__2	Rp8-pCPT-cAMPS-pAB(10)/ctrl	0	0	0	0	0	0	0	0	0	0.016	0	0	0	0	0	0
JI09_150330_Drg353_351_CycNuc__Rp8_pCPT_cAMPS_pAB_and_ctrl__3	Rp8-pCPT-cAMPS-pAB(10)/ctrl	0	0	0	0	0	0	0	0	0	0.08	0	0	0	0	0	0
JI09_150330_Drg353_351_CycNuc__Rp8_pCPT_cAMPS_pAB_and_ctrl__4	Rp8-pCPT-cAMPS-pAB(10)/ctrl	0	0	0	0	0	0	0	0	0	0.4	0	0	0	0	0	0
JI09_150330_Drg353_351_CycNuc__Rp8_pCPT_cAMPS_pAB_and_ctrl__5	Rp8-pCPT-cAMPS-pAB(10)/ctrl	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
JI09_150330_Drg353_351_CycNuc__Rp8_pCPT_cAMPS_pAB_and_ctrl__6	Rp8-pCPT-cAMPS-pAB(10)/ctrl	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0
JI09_150330_Drg353_351_CycNuc__Rp8_pCPT_cAMPS_pAB_and_ctrl__7	Rp8-pCPT-cAMPS-pAB(10)/ctrl	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0
JI09_150330_Drg353_351_CycNuc__Rp8_pCPT_cAMPS_pAB_and_Fsk__1	Rp8-pCPT-cAMPS-pAB(10)/Fsk(10)	30	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0
JI09_150330_Drg353_351_CycNuc__Rp8_pCPT_cAMPS_pAB_and_Fsk__2	Rp8-pCPT-cAMPS-pAB(10)/Fsk(10)	30	10	0	0	0	0	0	0	0	0.016	0	0	0	0	0	0
JI09_150330_Drg353_351_CycNuc__Rp8_pCPT_cAMPS_pAB_and_Fsk__3	Rp8-pCPT-cAMPS-pAB(10)/Fsk(10)	30	10	0	0	0	0	0	0	0	0.08	0	0	0	0	0	0
JI09_150330_Drg353_351_CycNuc__Rp8_pCPT_cAMPS_pAB_and_Fsk__4	Rp8-pCPT-cAMPS-pAB(10)/Fsk(10)	30	10	0	0	0	0	0	0	0	0.4	0	0	0	0	0	0
JI09_150330_Drg353_351_CycNuc__Rp8_pCPT_cAMPS_pAB_and_Fsk__5	Rp8-pCPT-cAMPS-pAB(10)/Fsk(10)	30	10	0	0	0	0	0	0	0	2	0	0	0	0	0	0
JI09_150330_Drg353_351_CycNuc__Rp8_pCPT_cAMPS_pAB_and_Fsk__6	Rp8-pCPT-cAMPS-pAB(10)/Fsk(10)	30	10	0	0	0	0	0	0	0	10	0	0	0	0	0	0
JI09_150330_Drg353_351_CycNuc__Rp8_pCPT_cAMPS_pAB_and_Fsk__7	Rp8-pCPT-cAMPS-pAB(10)/Fsk(10)	30	10	0	0	0	0	0	0	0	50	0	0	0	0	0	0
JI09_151102_Drg421_418_Age__ctrl_and_Fsk1	ctrl/Fsk(1)	60	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
JI09_151102_Drg421_418_Age__ctrl_and_Fsk3	ctrl/Fsk(3)	60	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
JI09_151102_Drg421_418_Age__ctrl_and_Fsk10	ctrl/Fsk(10)	60	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0
JI09_151102_Drg421_418_Age__H894_and_Fsk3	H89(4)/Fsk(3)	60	3	0	0	0	4	0	0	0	0	0	0	0	0	0	0
JI09_151102_Drg421_418_Age__H8910_and_Fsk3	H89(10)/Fsk(3)	60	3	0	0	0	10	0	0	0	0	0	0	0	0	0	0
JI09_151102_Drg421_418_Age__H8925_and_Fsk3	H89(25)/Fsk(3)	60	3	0	0	0	25	0	0	0	0	0	0	0	0	0	0
JI09_151102_Drg421_418_Age__H8925_and_ctrl	H89(25)/ctrl	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0
JI09_160126_Drg449_444_CycNuc__Fsk10_and_IBMX100	Fsk(10)/IBMX(100)	0	10	0	100	0	0	0	0	0	0	0	0	0	0	0	0
JI09_160126_Drg449_444_CycNuc__Sp8_Br_cAMPS_AM10	Sp8-Br-cAMPS-AM(10)	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0
JI09_160201_Drg453-452_CycNuc__ctrl	ctrl	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
JI09_160201_Drg453-452_CycNuc__Fsk	Fsk(10)	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0
JI09_160201_Drg453-452_CycNuc__Sp8_Br_cAMPS_AM	Sp8-Br-cAMPS-AM(10)	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0